id;date_emprunt;nb_notif_retard;derniere_date_notif
1;2020-12-03T02:31:22;93591;2020-12-02T16:44:20
2;2020-12-03T08:06:38;2459;2020-12-02T21:09:00
3;2020-12-03T08:28:14;13575;2020-12-03T01:12:47
4;2020-12-02T18:40:29;17753;2020-12-03T08:44:51
5;2020-12-03T07:52:26;87464;2020-12-03T13:55:46
6;2020-12-02T21:44:57;21958;2020-12-03T10:03:07
7;2020-12-03T04:29:13;89011;2020-12-03T00:13:48
8;2020-12-03T09:29:01;94086;2020-12-02T18:04:47
9;2020-12-02T23:46:26;22722;2020-12-03T05:11:40
10;2020-12-02T21:23:44;7736;2020-12-03T04:45:49
