id;titre;description;isbn;code
1;navigating;../fake-data/blob/hipster.txt;Music Towels;Versatile
2;grow;../fake-data/blob/hipster.txt;service-desk global Fish;Intelligent
3;Wooden Antarctica (the territory South of 60 deg S) extensible;../fake-data/blob/hipster.txt;parse;Metrics Guatemala
4;networks Awesome Rubber Chips;../fake-data/blob/hipster.txt;Gorgeous Frozen Chicken Quality;Mongolia 24/7
5;e-business overriding deposit;../fake-data/blob/hipster.txt;streamline British Indian Ocean Territory (Chagos Archipelago);Dominican Peso payment
6;deliverables;../fake-data/blob/hipster.txt;copy;bandwidth
7;function;../fake-data/blob/hipster.txt;B2C;Liberian Dollar local reboot
8;indexing;../fake-data/blob/hipster.txt;application;Global Rand Namibia Dollar
9;RSS maroon;../fake-data/blob/hipster.txt;Producer;Money Market Account program
10;calculate;../fake-data/blob/hipster.txt;Future-proofed;Architect
